"","Epidish_CBSX.NSCLC.PBMCs.scRNAseq_B.cells","Epidish_CCLE.TIL10_B.cells","B.cells_Subgroup.3.Iteration.1","B.cells_Subgroup.1.Iteration.2","B.cells_Subgroup.2.Iteration.2","DeconRNASeq_LM22_B.naive.cells","Epidish_LM22_B.naive.cells","CBSX_LM22_B.naive.cells","CBSX_LM22_B.memory.cells","B.memory_Subgroup.1.Iteration.1","XCell_Macrophages.cells","Macrophages.cells_Subgroup.1.Iteration.3","DeconRNASeq_LM22_Macrophages.M0","Macrophages.M0_Subgroup.1.Iteration.1","Quantiseq_Macrophages.M1","DeconRNASeq_BPRNACanProMet_Macrophages.M1","Epidish_TIL10_Macrophages.M1","Macrophages.M1_Subgroup.2.Iteration.1","Macrophages.M1_Subgroup.1.Iteration.2","DeconRNASeq_BPRNACanProMet_Macrophages.M2","CBSX_CCLE.TIL10_Macrophages.M2","CBSX_TIL10_Macrophages.M2","CBSX_LM22_Macrophages.M2","Macrophages.M2_Subgroup.3.Iteration.1","Macrophages.M2_Subgroup.1.Iteration.2","MCP_Monocytes","CBSX_BPRNACan_Monocytes","Epidish_BPRNACan3DProMet_Monocytes","Monocytes_Subgroup.1.Iteration.1","Monocytes_Subgroup.4.Iteration.1","Monocytes_Subgroup.1.Iteration.2","Monocytes_Subgroup.2.Iteration.2","Quantiseq_Neutrophils","Neutrophils_Subgroup.2.Iteration.1","Neutrophils_Subgroup.1.Iteration.2","XCell_T_cell_NK.cells","DeconRNASeq_CBSX.Melanoma.scRNAseq_NK.cells","DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_NK.cells","Epidish_CBSX.NSCLC.PBMCs.scRNAseq_NK.cells","Epidish_CCLE.TIL10_NK.cells","CBSX_CCLE.TIL10_NK.cells","DeconRNASeq_TIL10_NK.cells","Epidish_TIL10_NK.cells","CBSX_TIL10_NK.cells","NK.cells_Subgroup.1.Iteration.1","Epidish_LM22_NK.activated","CBSX_LM22_NK.activated","DeconRNASeq_LM22_NK.resting","Epidish_LM22_NK.resting","CBSX_LM22_NK.resting","DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_NKT.cells","NKT.cells_Subgroup.1.Iteration.1","XCell_T_cell_CD4.cells._Th1","XCell_T_cell_CD4.cells._Th2","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_CD4.cells","CBSX_TIL10_CD4.cells","CD4.cells_Subgroup.1.Iteration.1","CD4.cells_Subgroup.2.Iteration.1","CD4.cells_Subgroup.3.Iteration.1","CD4.memory.activated_Subgroup.1.Iteration.1","DeconRNASeq_LM22_T.cells.CD4.memory.resting","Epidish_LM22_T.cells.CD4.memory.resting","CBSX_LM22_T.cells.CD4.memory.resting","CBSX_CBSX.Melanoma.scRNAseq_CD8.cells","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_CD8.cells","CBSX_TIL10_CD8.cells","CD8.cells_Subgroup.1.Iteration.2","CD8.cells_Subgroup.2.Iteration.2","Quantiseq_T.cells.regulatory","XCell_T.cells.regulatory","CBSX_CCLE.TIL10_T.cells.regulatory","Epidish_TIL10_T.cells.regulatory","CBSX_TIL10_T.cells.regulatory","T.cells.regulatory_Subgroup.1.Iteration.1","Quantiseq_T.cells.non.regulatory","CBSX_LM22_T.cells.helper","T.cells.helper_Subgroup.1.Iteration.1","MCP_Dendritic.cells","CBSX_CCLE.TIL10_Dendritic.cells","CBSX_TIL10_Dendritic.cells","Dendritic.cells_Subgroup.1.Iteration.1","Dendritic.cells_Subgroup.2.Iteration.1","XCell_Myeloid_Dendritic.activated.cells","DeconRNASeq_LM22_Dendritic.activated.cells","CBSX_LM22_Dendritic.activated.cells","DeconRNASeq_LM22_Dendritic.resting.cells","Epidish_CCLE.TIL10_Cancer","DeconRNASeq_CBSX.Melanoma.scRNAseq_Cancer","Cancer_Subgroup.1.Iteration.1","Cancer_Subgroup.2.Iteration.1","Endothelial_Subgroup.1.Iteration.3","Plasma.cells_Subgroup.1.Iteration.2","DeconRNASeq_CBSX.HNSCC.scRNAseq_Myocytes","MCP_Fibroblasts","Mast.resting_Subgroup.1.Iteration.2","XCell_CAF","Epidish_CBSX.Melanoma.scRNAseq_CAF","CAF_Subgroup.1.Iteration.1"
"LP.01.01",0.398658572659064,0,0.925155768337014,0.557068804669236,0.241470381547325,0.3975085148277,0.694913893544386,0.777001928039058,0,0,0.0839032735061914,0.573096582612339,0.111273616317413,0.1303869130311,0.173361634208834,0.677226161049904,0.397042042259078,0.284623643975498,0.430939504308376,0.658797688255138,0.549934175109542,0.983330155620487,0.322500610852375,0.535031809523843,0.685385208621009,0.637576670261276,0.00146407234955717,0.148588414500568,0,0.228775047985434,0,0,0.355915165362833,0.345141866528872,0.146718868941391,0.621042752575508,0.160924935036989,0.74321987658621,0,0.89322174012122,0.528233484833503,0.898251179506564,0.527693384546704,0,1,0.880639282337686,0.253045225365066,0,0,0.0049941056606845,0.577698870192607,0,0.0663515384148348,0,0.466032350593045,0.598951835169757,0.611843560683839,0.611652377061482,0.43705202051958,0,1,0.732974557647235,0.904264782465466,0.285458306483009,0.123092631702085,0,0.201469039385819,0.128686661715485,0.196181988198233,0.547302215870795,0,0,0,0.571232536421352,0.24568934755852,0,0.183181137629827,0.731823853534846,0.167675305282469,0,0.123745144839674,0,0.308911367362815,0.558507970265468,0.175021081558666,0.266907863047087,0.23352169785901,0.717142947071942,0.953334010133884,0.2142253877521,0.364277364076739,0.330185869306029,0.329333280103335,0.756664166086976,0.716813354625708,0.591738416306159,0.640500772341759,0.783606435685038
"LP.01.02",0.750083650366486,0,0.848793217357387,0.273275713168715,0,0.0709368464234849,0.669018159506948,0.263310615101173,0,0,0.140053870145431,0.54349830560939,0,0.392743257305559,0.10342023126388,0.622679847877515,0.449070494008153,0.0948610388166885,0.465982049236792,0.901866551279903,0,0.324773017912299,0.449905273484318,0.592261542427863,0.625280443257269,0.747317961479202,0.0670398449544975,0.597178878614801,0.199120761253152,0.437590916885396,0.395597908693983,0.353779659489806,0.461548406869994,0.901563841400073,0.364973706286061,0.0614221466970554,0.233941331135193,0.820543224547627,0,0.369393180999969,0.0174564913074983,0.77122015323075,0,0,0.813527180912227,0.414251549822659,0.263186145413302,0,0,0,0.491745554463565,0,0,0.000999350573036836,0,0.212105004275494,0.77571818641359,0.515442362422842,0.482059615396103,0,0.815467036484466,0.803463220934335,0.806773671727367,0,0.691980811633813,0,0,0,0.0731817742396331,0.0507861512275942,0,0,0,0.235304055290554,0.297858476300283,0,0.1730118828343,0.847615851607895,0,0,0.289824267015332,0,0.220866998031092,0.628884295278473,0.114867861651593,0.669609409399748,0.164320152579746,0.695181966298414,0.956913282445736,0.20620025934539,0.759407670701187,0.0464314394746038,0.449291761571573,0.713082479883842,1,0.613251972409714,0.513857210095102,0.720448376211715
"LP.01.03",0.346175396710841,0,0.901446522113181,0.444643882129037,0.216873641428046,0.356770603612826,0.558887171168665,0.2841743772672,0,0,0.101576371118996,0.521352357834878,0,0,0.169423835386962,0.565431443769067,0.471150190213071,0.0303024801439665,0.523367958520609,0.859515293335956,1,0.207740254527044,0.260159922780284,0.541888413820761,0.631071265495761,0.706332693433018,0.134122973470918,0.581054667542823,0.0226635380661496,0.555353525583588,0.840841905293345,0.233164524919163,0.815921144916628,0.475810089581249,0.236656800166304,0.0211817585412616,0.34112991866885,0.765617725119913,0,0.743581428317021,0.324145845576763,0.684754868843614,0,0,0.629480927273602,0.714204055787386,0.536072829775158,0,0,0,0.404494986923856,0,9.01789152794025e-18,0,0.411489817433282,0.438359436640288,0.769020060896142,0.610514358935225,0.244730193761531,0,0.646278678393845,0.622941391598721,0.924735774647467,0,0.118513560460791,0,0,0.1790276626537,0.528665148481482,0.759735713889499,0.253822029775545,0.0992266955861157,0,0.827459624619213,0.130077834861174,0.277833125417067,0.589991071059849,0.885872627259356,0,0,0.364511801391294,0,0.409186353499123,1,0.555812851222028,0.528438023098745,0.101660790333467,0.649040689262477,0.907355789053259,0.158666705230035,0.642682959571193,0.177049385697226,0.211639823812321,0.59141437960874,0.693560818676274,0.57112084592767,0.477995979291994,0.654547056431238
"LP.01.04",0.624247509901298,0,0.902742530417352,0.611223239266921,0.0654898459200473,0.329026859413976,0.68947147208776,0.383543326019525,0,0,0,0.418010863450479,0.327018613314293,0.276425855309821,0.192640808310143,0.696013656590724,0.640736878463732,0.165112539805157,0.523861021073203,0.703125148927131,0.324122501429162,0.48285914717795,0.590005590203366,0.534043251028304,0.455236884863966,0.746706824348729,0,0.172301475719457,0.021781374230131,0.123591366979451,0,0,0.173669044549942,0.223938659656294,0.233929129728847,0.661769371056263,0.627207012322433,0.852373201082149,0,0.144199356542015,0.0293200991250875,0.903445072919419,0.443709096746419,0,0.638585368976474,0.76755644153455,0.129738355917722,0.103611796457636,0.138934313641013,0.309762937537932,0.564306897225437,0,1,0.046939537862329,0,0.685738875660601,0.431612915474784,0.314347593579932,0,0.0841791500168198,0.406144042951289,0.539187764031029,0.498343104148032,0,0.672929261040919,0,0.190007575744397,0.037531495646066,0.133602771165167,0.0934488959794172,0,0,0,0.182707037862694,0.497912257185672,0.543280595730543,0.694652414656194,0.448768427924795,0.824407059907694,0,0.28643397695653,0,0.118375764278967,0.544322632748282,0.317725357105924,0,0.833229005083027,0.710821837366467,0.987596521043572,0.261084853449636,0.400649648131945,0.562177115209041,0.504655222269152,0.778470476798227,0.471674866572466,0.297740526468702,0.8929686206754,0.823829359724297
"LP.01.08",0.504788870097063,0,1,0.726814807801153,0.440937357016853,0.557370270084029,0.590112019082548,0.559958066586489,0.29677404822852,0.305522212141445,0.143179910245712,0.520616956489902,0.234002137205675,0.506752282332631,0.0917067649483174,0.708121891020395,0.649843295175722,0.163157720937457,0.499632903385737,0.688234150964478,0.188986540687049,0.318596488170093,0.495835162147144,0.608058410892112,0.604268064045163,0.700053676735744,0.0236183661935048,0.239115111136952,0.00136304377928156,0.0659378633741438,0,0,0.215855168755644,0.146093673423553,0.166614100632978,0.211186380124212,0.109683540154734,0.821140129328432,0.0282099247241294,0.492776099783381,0.0354545099800456,0.788274472035221,0.0900972288961485,0,0.819175479064033,0.419909863282246,0,0,0,0.213916959365693,0.405734270875993,0,0.00592188450784816,0.00764173257387308,0.0992588820968684,0.783400095522233,0.401220589074097,0.5103399035565,0.0850591579983421,0,0.709672216912724,0.568423301566853,0.493548864574904,0.253648243215793,0.0728469842746039,0,0,0.0557734909104421,0.100286529960985,0.230742061675949,0,0,0,0.241056484424617,0.364879083699207,0.144932738740277,0.397818927367672,0.52282421875657,0,0,0,0.0728340120495096,0.1703980602434,0.588167660679061,0.0143662837704266,0,0.57575640396701,0.746552016531805,0.939848174638809,0.245365405565634,0.413732178256763,0.846712405945666,0.175033378331337,0.777993520769043,0.495125117133464,0.81024492941112,0.751711658542867,0.838581237689088
"LP.01.10",0.384709013353224,0,0.963601207657302,0.410398719483567,0.131880605730617,0.372714435678501,0.51450346607616,0.855713341053978,0,0,0.14409586127539,0.608402992793668,0.0767938949664415,0.0556855109662069,0.274181813353988,0.746856254241928,0.410037674579162,0.441805316803458,0.463579628836682,0.651010660490401,0.257051558949985,0.413229160386044,0.551238550815382,0.628785125696459,0.704128306396598,0.671385550712283,0.0728614407095364,0.346170194207791,0,0.274504318229505,0,0.0424143526294792,0.439788582787318,0.464322229792157,0.209280075811647,0.163408685041959,0.417424510828102,0.867415528615338,0.26964434091068,0.996257378905889,0.160419216035788,0.764694540625145,0.847880830095116,0,0.650474049828196,0.162729803157155,0,0.303580191285628,0.334484739535907,0.466448520742184,0.469831954078892,0.0588504810753427,0.072471536071741,0.000787529811354721,0.17586821000973,0.775314899872996,0.561576639818886,0.451494982824156,0.187624830977154,0.0897356756111585,0.773182785406624,0.670818557874999,0.618663398975393,0,0,0.15623239062079,0.0385675281657292,0.14869216548076,0.284984349658529,0.462870268054427,0,0,0,0.508680847476064,0.667298394042368,0.00264358007976813,0.332473235964677,0.702628910960051,0,0,0.393114938368443,0,0.424277375004034,0.632796298886059,0.336389479704203,0.270912901192437,0.336993997047612,0.607408436432628,0.956796608928485,0.237594647455729,0.367071075586291,0.155493361967283,0.0631918321651686,0.711091101904479,0.666519605338916,0.803239624429018,0.732741033510829,0.817973364965316
"LP.01.12",0.496759695610551,0,0.872327028993102,0.328147747099614,0.0529322521107366,0.117650456239356,0.487281276962463,0.585545889616801,0,0,0.200948158811306,0.616366304343007,0,0.333799368072101,0.19368895591473,0.616119252760367,0.687476277858768,0.0513267277578507,0.724819915814152,0.918431914597815,0.208569087037245,0,0.869944921368058,0.765528699247141,0.659587284813363,0.718894449448186,0.192472797621746,0.871555479699137,0.112306445159736,0.342684201817098,0.455984580342474,0.499837283724954,0.636117355075542,0.575254270791536,0.230542501842044,1.18372012112853e-20,0.487059993556053,0.868138635783321,0.56974397725022,0.91947518506997,0.274497481649118,0.670147112484453,0,0,0.700220739074175,0.421254998142151,0.16600334099178,0.255172463101086,0.266081944896006,0.306757659292873,0.387134927298528,0,4.59329210528226e-18,0,0.321789046948613,0,0.639500454884055,0.488298725516607,0.369947641561416,0,0.841653968208858,0.611704690069116,0.634178632779413,0,0.229567293816839,0.107057031566964,0,0.157567538325434,0.656263677132449,1.03681473305574e-19,0,0,0,0.351116665069657,0.130763335592148,0,0.0945640867129587,0.697412269490682,0,0,0.110981427991155,0.237072623321852,0.166560401455704,0.755155436165136,0.32237414552684,0.213475164744118,0.00117014970090644,0.513171723399301,0.891985088344648,0.179807596315197,0.91854169405822,0.116058958644955,0.323372392888849,0.674656975128969,0.581748281858371,0.667445823332584,0.528839730667751,0.717150640979144
"LP.01.14",0.278495006121159,0.144970722232697,0.93360109592573,0.660443730860355,0.657161453391652,0.474949807480464,0.487960723495329,0.0315252504847641,0.912695005383661,0.940463497179069,0.182745222567455,0.519801489474673,0.0756802052060478,0.119764792644843,1,0.787236809763693,0.528233915572634,0.588573756678839,0.575436308157802,0.544549643545557,0.11954190501002,0.419431289182645,0.484812393610981,0.557499320103955,0.47830500313461,0.623983405407206,0.0652509009938839,0.245453556616173,0,0.183768017160605,0,0,0.503094292703285,0,0.0590858398651053,0.21438264433844,0.482087619457585,0.89724274147064,0.356792395869893,0.929484026291723,0.419086659689468,0.716213259375071,1,0.708627918793215,0.640208774459761,1,0.0162023362439814,0.250612926239471,0,0.184956303321916,0.275979652755393,0,0.0664747656609657,0.0576639717457511,0.172786344291057,0,0.306890180844424,0.543709679871825,0,0.156830380456105,0.720449170577548,0.430078699929563,0.707680217771075,0.857945120363302,0.307466726713879,1,0.239237746623501,0.531739331573489,0.251506796622383,0.33934171431902,0,0,0.426362021835174,0.213097724259561,0,0,0.389046511149275,0.582585783905667,0,0.149723084981192,0.24018437655718,0,0.508592441410904,0.424313657458253,0.0531215450249895,0.159506529541221,0.551028622006831,0.494399838496177,0.907018461135261,0.209826179755046,0.375414268029289,0.426961647636986,0,0.647275021220048,0.477504886136878,0.152265881381632,0.716340876059484,0.767464696447169
"LP.01.15",0.389462476214028,0,0.74378207833317,0.386586399401861,0.232459025981272,0.493478930744898,0.635069213213315,0.428938759518097,0.153925946888371,0,0.179394965583899,0.515756168413938,0.0865115432926338,0.11230740586539,0.115724841597237,0.78416062616545,0.458466621905754,0.32162842485065,0.456069282652072,0.625579847351171,0.276552488067963,0.166009125042661,0.848458917091593,0.712117962794306,0.659747269677225,0.713597256378118,0.0803750461184901,0.344426798230275,0.305284543536117,0.101000460729442,0.187586776172912,0.0957081513472433,0.387515468694392,0.550457417674311,0.347884463982239,0.1642543598715,0.562508423635702,0.79691365366992,0.296178851881423,0.314486947144746,0.0418346229501502,0.643912220698896,0.165320257115091,0.511907936730584,0.476550768304612,0.22455938361405,0.0673574526038797,0.200524832137492,0.370316174599244,0.0559738731690072,0.451276905390304,0.259259253126292,0.240277047376341,0.0227522620975419,0.10733917205086,0.653471810169764,0.478912331459939,0.414760218761047,0.00800980415533751,0.099207406316302,0.627061281269293,0.595231798012582,0.551028530291532,0.141593664647814,0,0,0.00455016243481141,0.126992001202779,0.234576384246304,3.10871939107123e-18,0,0,0,0.0540034500773689,0.223900631217159,0.176808036603042,0.410865651675519,0.4854039512585,0.263865745320587,0,0.108064429712489,0,0.0846968600693749,0.670294468121156,0.0468224853225338,0,0.603141895186304,0.521595388184995,0.947411139650354,0.456553595808668,0.754860772320182,0.271035619553108,0,0.682786956806119,0.420104378401115,0.429301813552129,0.6949164930423,0.752341569327496
"LP.01.16",0.363283053317378,0,0.884002049301525,0.486808905771927,0.284915143479728,0.199298814655305,0.440372493427365,0.0538170965968843,0.24351876358014,0.32960716456893,0.352698703197008,0.572310402614038,0.136815900895989,0.551186847794225,0.241503582285206,0.787968672556268,0.528598246556339,0.454275817429386,0.631994570369363,0.625659504011514,0.14436908932938,0.127915013207899,0.701250933018056,0.604362117613172,0.676771394665198,0.744956428281007,0.159162523652568,0.567423406571929,0.0633851659784513,0.150860323153065,0,0.0171833967388438,0.394937247187662,0.462863507744881,0.255687961192219,0,0.580460146658696,0.839801177525999,0.266822369824581,0.458039593319316,0.428547314535157,0.506611488617564,0.318582766971488,1,0.547828790208661,0.679984615133303,0,0.226885287667465,0,0.297210998135018,0.32234702998628,0,3.28741605212755e-17,0.118475835497218,0.140858203296541,0.519247989088465,0.283337401786947,0.447019699964227,0,0.597016040397511,0.67145129876229,0.465598749307372,0.452238738435996,0.204583154755117,0.388286763270893,0,0.0802776864096843,0.499138525834883,0.477199467410169,0.498521164019512,0.378800871920656,0,0,0.11323018581767,0.0382879122440379,0.191412341772312,0.262658374288403,0.597339057602018,0.573209723988203,0,0.46410706835802,0,0.276742345966708,0.385891933468953,0.221250238478819,0,0.508412599421542,0.457800481350438,0.887366172847402,0.212074622460269,0.327890639992949,0.472493202638546,0,0.68933412730491,0.41548822559477,0.353920161470701,0.777093303694242,0.838070385972665
"LP.01.17",0.227353532763778,0.0474786738803234,0.868276117023056,0.575588927335165,0.407572425602859,0.905667620197104,0.98434905586538,0.349971287112467,0.927156428025183,0.374195120247014,0,0.244774847120133,0,0.0743544449923687,0.0562920771327177,0.542824701994718,0.218072813924151,0.419204169627405,0.328738942580867,1,0.0307012655694301,0.00773384787205789,0.431357594845753,0.653552177261706,0.44404799824012,0.671055325470751,0.134184847122688,0.411777899708448,0,0.714854382771634,0.41907804170432,0.158317624332838,0.22472320162629,0,0.0595922354819533,0.208896459073838,0,0.857774165319909,0.117689543486703,0,0,0.445769644424209,0,0,0.47369364211547,0.345192396057032,0,0.117771470137437,0.203257767296734,0.473098816605179,0.382754719716705,0,0.0127544237955563,0.0064807313006316,0.702098786993225,1,0.85143824778506,0.545726813338783,1,0.0697886702729874,0.945759918732976,0.602296986454611,0.891632361932077,0,0.0374657472610567,0.458406884397491,0,0.0935710729224775,0.254226084880647,3.62398800869818e-18,0,0,0,0,0.91122134678131,0,0.415556769658739,0.50615506729005,0,0,0,0,0.237603011085217,0.216002295410725,0.0311419074816904,0,0.33829503703357,0.53331918731992,0.880414669061954,0.254591699576208,0.745496855843616,0.0836151203157209,0.0923920403255071,0.714750974688985,0.235622186920597,0.48102313228773,0.692754032297665,0.853340603097452
"LP.01.18",0.352484479180047,0,0.924642183776613,0.386619176991999,0.123707820733867,0.139593176512056,0.255632326359746,0.188503061433358,0,0,0.532183942671258,0.660984362486742,0,0.20974184638651,0.801380476814522,0.704905746756016,0.428053980370688,0.252078225070222,0.581370430749336,0.700602172494861,0.44428871508477,0.410884200693539,1,0.745968848727182,0.593171441401978,0.745678434500042,0.0800594007386596,0.509551230362914,0.0443835879338517,0.203807858418177,0,0,0.650643776099198,0.354522995761811,0.263494448679503,0.0899336805201898,0.624029760946816,0.810719979970314,0.207586544642176,0.277352002685869,0.0212595821123417,0.656174951045688,0.293843751141417,0.191814540869754,0.482758081392567,0.106122969451841,0.280049517490785,0.19618558053694,0.243188423389234,0.0538571637021863,0.521500047428393,0,0.10592097759145,0.0823743478496289,0,0.3178461343223,0.397611506128693,0.433272383076693,0,0.662257212930778,0.592808123125092,0.60050850788006,0.563327236468601,0.534613920494314,0.185284276229106,0,0,0.354540616849513,0.891245811313105,0.958084134578292,0,0.447568798861128,0.246421048917414,0.569487646413808,0,0.271445390777116,0.418364785836228,0.553046807646182,0.232042514359199,0.349606757735491,0.39580469133172,0,0.691947155789667,0.817721136228713,0.789870369743744,0.520161026240683,0.49790680140185,0.510335772990397,0.951739424707076,0.229626641299837,0.385354782317246,0.167677984310914,0.14845863285879,0.743645185321279,0.138208579991442,0.00145347185889586,0.711891333933551,0.723235752975785
"LP.01.19",0.299552647725044,0,0.784948559983327,0.339534009122715,0.127592990726473,0.31982039204207,0.716119340929773,1,0,0,0.0482157554870669,0.449598269524547,0,0.0229786087081312,0.624403963927884,0.678215189196795,0.403537620110471,0.291887179800054,0.612916404669839,0.766114570346687,0.426357433132416,0.149179793644725,0.447005060999249,0.525711481028682,0.530119549148362,0.673812683503414,0.0972923125948473,0.413306716607582,0.00469263185085192,0.247108382454496,0.0585166318139077,0,0.783547272242987,0.489634191561495,0.247743792456205,0.146740494532578,0.364894331899381,0.754271323523682,0,0.643880671735753,0.0439721756644867,0.630619001370903,0,0.0466293948673782,0.713263931630354,0.435199588765073,0.180230226258014,0,0,0.0282453484349633,0.580918788913955,0.13418887277326,1.11247678092033e-17,0.0386906528591548,0.826322780375438,0.478349835884506,0.767621147178866,0.595796772555481,0.518009273998981,0.0989582585393458,0.884020516886574,0.7784778383244,0.986218304507689,0,0.289217548246295,0,0,0.29486297156851,0.522310056680923,0.789234402236277,1,0,0,0.723551028846916,0.669203143363249,0.199388954191077,0.444519046290242,0.998444666462573,0,0,0.215508657868387,0,0.265673476647317,0.70643648770734,0.338553855477605,0.748622133575935,0.220989562857645,0.693869448323667,0.932949746123199,0.206692101140719,0.390857372283145,0.100534404564339,0.31603980007359,0.623465616899305,0.452652754253148,0.450777749768314,0.596227677846746,0.683656879852433
